 250um cubic zirconia ball, TOP=(PDMS_CHAN_LENS)+(LENS_DIA); BOT=(PDMS_CHAN_LENS) 
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 10        , 0                   , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 20        , 0                   , 0              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 30        , 4                   , 6              
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 40        , 4                   , 17             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 50        , 4                   , 24             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 60        , 5                   , 38             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 70        , 9                   , 94             
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 80        , 10                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 90        , 11                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 100       , 11                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 110       , 13                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 120       , 20                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 130       , 27                  , 119            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 140       , 30                  , 121            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 150       , 35                  , 122            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 160       , 39                  , 124            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 170       , 43                  , 125            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 180       , 49                  , 125            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 190       , 54                  , 125            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 200       , 61                  , 126            
 .59       , 2.177     , 250        , 182.14 , 57.145 ,57.14524765729586 , 20               , 2         , 210       , 68                  , 126            
