  
 LENS DETECTOR DISTRIBUTION, CONSTANT LASER POSITION, BARE channel, bare ball, CY5 fluorophore, with media/coating definitions, new excitation spot/emission calculations
 EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
 , , 1.76     
 , , ,150        
 , ,, , ,0               
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.51369, 449      , 0          , 25        , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.51369, 449      , 0          , 36        , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
  
 LENS DETECTOR DISTRIBUTION, CONSTANT LASER POSITION, BARE channel, bare ball, CY5 fluorophore, with media/coating definitions, new excitation spot/emission calculations
 EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
 , , 1.76     
 , , ,150        
 , ,, , ,0               
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 25        , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 36        , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 49        , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 64        , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 81        , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 100       , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 121       , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 144       , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 169       , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 196       , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 225       , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 256       , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 289       , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 324       , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 , ,, , ,10              
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 57.41335, 449      , 0          , 25        , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 57.41335, 449      , 0          , 36        , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 57.41335, 449      , 0          , 49        , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
 .0004    ,         10, 1.76      , 150        , 200    , 10               , 285       , 57.41335, 449      , 0          , 64        , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
  
 LENS DETECTOR DISTRIBUTION, CONSTANT LASER POSITION, BARE channel, bare ball, CY5 fluorophore, with media/coating definitions, new excitation spot/emission calculations
 EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
 , , 1.76     
 , , ,150        
 , ,, , ,0               
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 58.32846, 449      , 0          , 25        , 0          , 0          , 0           , 0           , 0            , 0            , 0       , -1    
  
 LENS DETECTOR DISTRIBUTION, CONSTANT LASER POSITION, BARE channel, bare ball, CY5 fluorophore, with media/coating definitions, new excitation spot/emission calculations
 EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
 , , 1.76     
 , , ,150        
 , ,, , ,0               
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 25        , 0          , 0          , 92          , 1.099264    , 44           , 1183650      , 7.606729, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 36        , 0          , 0          , 92          , 1.099264    , 101          , 2717015      , 11.53578, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 49        , 0          , 0          , 92          , 1.099264    , 253          , 6805985      , 18.30464, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 64        , 0          , 0          , 92          , 1.099264    , 340          , 9146380      , 21.25124, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 81        , 0          , 0          , 92          , 1.099264    , 340          , 9146380      , 21.25124, -1    
 .0004    ,         10, 1.76      , 150        , 200    , 0                , 275       , 57.18744, 449      , 0          , 100       , 0          , 0          , 92          , 1.099264    , 342          , 9200137      , 21.31438, -1    
