    
   BASELINE = 1    , complete set with tolerances for, detector distribution, bare channel, constant laser position
   EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), TOL (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
 , , 1.76     
 , , ,150        , 0     
 , ,, , , ,20              
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 36        , 0          , 0          , 5719        , 125.0649    , 45           , 3026359      , 7.692812, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 64        , 0          , 0          , 5719        , 125.0649    , 133          , 8944569      , 13.24481, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 100       , 0          , 0          , 5719        , 125.0649    , 279          , 18763420     , 19.2307 , -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 144       , 0          , 0          , 5719        , 125.0649    , 516          , 34702230     , 26.25942, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 196       , 0          , 0          , 5719        , 125.0649    , 820          , 55146540     , 33.27989, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 256       , 2          , .05547806  , 5720        , 125.0316    , 1175         , 79017600     , 40.093  , .14E10
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 20               , 295       , 55.5945 , 449      , 0          , 324       , 9          , .3633867   , 5710        , 124.6141    , 1330         , 89441340     , 42.77721, .246E9
 , ,, , , ,70              
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 36        , 0          , 0          , 5370        , 126.1679    , 31           , 2084821      , 6.383489, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 64        , 0          , 0          , 5370        , 126.1679    , 85           , 5716444      , 10.57984, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 100       , 0          , 0          , 5370        , 126.1679    , 216          , 14526490     , 16.90267, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 144       , 0          , 0          , 5370        , 126.1679    , 413          , 27775180     , 23.4511 , -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 196       , 0          , 0          , 5370        , 126.1679    , 698          , 46942050     , 30.63847, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 256       , 11         , .09917094  , 5369        , 126.1644    , 1026         , 68997720     , 37.36363, .695E9
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 70               , 345       , 51.47271, 449      , 0          , 324       , 127        , 4.251419   , 5474        , 126.3937    , 1259         , 84667300     , 41.5653 , .199E8
 , ,, , , ,120             
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 36        , 0          , 0          , 4867        , 131.2497    , 28           , 1883060      , 6.066448, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 64        , 0          , 0          , 4867        , 131.2497    , 83           , 5581925      , 10.45428, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 100       , 0          , 0          , 4867        , 131.2497    , 184          , 12374390     , 15.59202, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 144       , 0          , 0          , 4867        , 131.2497    , 335          , 22529460     , 21.0926 , -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 196       , 0          , 0          , 4867        , 131.2497    , 549          , 36921390     , 27.10161, -1    
   .0004    ,         25, 1.76      , 150        , 0     , 200    , 120              , 395       , 47.77398, 449      , 0          , 256       , 0          , 0          , 4867        , 131.2497    , 830          , 55817780     , 33.48814, -1    
