 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 EMISSION (um), N_LENS, LENS_DIA (um), EFF (um), BFL (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), COAT_REFL , AIR_GAP (um), DET_RAD (um), BASE_RAYS, N_RAYS, BASE_THETA, N_THETA, BASE_EX, N_EX
 , 1.768     , ,  ,  , , , , , ,  , ,  , , ,
 , 1.768     , 150        ,  ,  , , , , , ,  , ,  , , ,
 , 1.768     , 150        ,  ,  , , , , , 20         ,  , ,  , , ,
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 0                , -1          , 2         , 20        , 0           , 1       , 6.2795806411 , 3.6243074, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 10               , -1          , 2         , 20        , 0           , 3       , 6.2795806411 , 6.2795806, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 20               , -1          , 2         , 20        , 0           , 3       , 5.1264000819 , 6.2795806, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 30               , -1          , 2         , 20        , 0           , 2       , 5.1264000819 , 5.1264   , 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 40               , -1          , 2         , 20        , 0           , 3       , 3.624307494  , 6.2795806, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 50               , -1          , 2         , 20        , 0           , 2       , 0            , 5.1264   , 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 60               , -1          , 2         , 20        , 0           , 4       , 0            , 7.2522468, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 70               , -1          , 2         , 20        , 0           , 2       , 0            , 5.1264   , 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 80               , -1          , 2         , 20        , 0           , 1       , 0            , 3.6243074, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 90               , -1          , 2         , 20        , 0           , 3       , 0            , 6.2795806, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 100              , -1          , 2         , 20        , 0           , 3       , 0            , 6.2795806, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 110              , -1          , 2         , 20        , 0           , 4       , 0            , 7.2522468, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 120              , -1          , 2         , 20        , 0           , 2       , 0            , 5.1264   , 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 130              , -1          , 2         , 20        , 0           , 4       , 0            , 7.2522468, 0         , 0     
 .59       , 1.768     , 150        , 196.15 , 121.15 ,121.1538461538461 , 140              , -1          , 2         , 20        , 0           , 3       , 0            , 6.2795806, 0         , 0     
