    
   BASELINE = 1    , complete set with tolerances for, detector distribution, bare channel, constant laser position
   EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), TOL (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
 , , 1.76     
 , , ,150        , -20   
 , ,, , , ,20              
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 20               , 295       , 55.5945 , 449      , 0          , 36        , 0          , 0          , 5726        , 125.2585    , 179          , 12038230     , 15.37741, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 20               , 295       , 55.5945 , 449      , 0          , 64        , 0          , 0          , 5726        , 125.2585    , 179          , 12038230     , 15.37741, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 20               , 295       , 55.5945 , 449      , 0          , 100       , 0          , 0          , 5726        , 125.2585    , 231          , 15535350     , 17.48416, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 20               , 295       , 55.5945 , 449      , 0          , 144       , 0          , 0          , 5726        , 125.2585    , 480          , 32281170     , 25.31106, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 20               , 295       , 55.5945 , 449      , 0          , 196       , 0          , 0          , 5726        , 125.2585    , 780          , 52456800     , 32.43504, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 20               , 295       , 55.5945 , 449      , 0          , 256       , 5          , .115062    , 5730        , 125.0101    , 1116         , 75053240     , 39.03148, .652E9
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 20               , 295       , 55.5945 , 449      , 0          , 324       , 6          , .1898733   , 5622        , 124.0286    , 1246         , 83795740     , 41.34027, .441E9
 , ,, , , ,70              
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 70               , 345       , 51.47271, 449      , 0          , 36        , 0          , 0          , 5319        , 121.8144    , 141          , 9482606      , 13.63917, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 70               , 345       , 51.47271, 449      , 0          , 64        , 0          , 0          , 5319        , 121.8144    , 142          , 9549858      , 13.68768, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 70               , 345       , 51.47271, 449      , 0          , 100       , 0          , 0          , 5319        , 121.8144    , 155          , 10424140     , 14.30364, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 70               , 345       , 51.47271, 449      , 0          , 144       , 0          , 0          , 5319        , 121.8144    , 336          , 22596760     , 21.12442, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 70               , 345       , 51.47271, 449      , 0          , 196       , 0          , 0          , 5319        , 121.8144    , 594          , 39947820     , 28.21254, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 70               , 345       , 51.47271, 449      , 0          , 256       , 9          , .04050618  , 5319        , 121.8144    , 899          , 60458480     , 34.89518, .14E10
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 70               , 345       , 51.47271, 449      , 0          , 324       , 143        , 5.150385   , 5425        , 126.1163    , 1200         , 80700530     , 40.5358 , .156E8
 , ,, , , ,120             
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 120              , 395       , 47.77398, 449      , 0          , 36        , 0          , 0          , 4785        , 128.0736    , 161          , 10827640     , 14.57934, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 120              , 395       , 47.77398, 449      , 0          , 64        , 0          , 0          , 4785        , 128.0736    , 166          , 11163900     , 14.80524, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 120              , 395       , 47.77398, 449      , 0          , 100       , 0          , 0          , 4785        , 128.0736    , 167          , 11231150     , 14.85002, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 120              , 395       , 47.77398, 449      , 0          , 144       , 16         , .0325641   , 4785        , 128.0736    , 262          , 17620100     , 18.63022, .541E9
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 120              , 395       , 47.77398, 449      , 0          , 196       , 210        , 1.755385   , 4785        , 128.0736    , 478          , 32146100     , 25.2574 , .183E8
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 120              , 395       , 47.77398, 449      , 0          , 256       , 214        , 1.845681   , 4785        , 128.0736    , 737          , 49564360     , 31.5044 , .268E8
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 120              , 395       , 47.77398, 449      , 0          , 324       , 1587       , 29.17467   , 4829        , 126.5264    , 1093         , 73505750     , 38.61106, .251E7
 , ,, , , ,170             
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 170              , 445       , 44.46276, 449      , 0          , 36        , 0          , 0          , 4267        , 131.1298    , 149          , 10020590     , 14.02265, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 170              , 445       , 44.46276, 449      , 0          , 64        , 0          , 0          , 4267        , 131.1298    , 156          , 10491350     , 14.34995, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 170              , 445       , 44.46276, 449      , 0          , 100       , 0          , 0          , 4267        , 131.1298    , 164          , 11029370     , 14.71529, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 170              , 445       , 44.46276, 449      , 0          , 144       , 0          , 0          , 4267        , 131.1298    , 205          , 13786700     , 16.46359, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 170              , 445       , 44.46276, 449      , 0          , 196       , 0          , 0          , 4267        , 131.1298    , 387          , 26026550     , 22.6908 , -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 170              , 445       , 44.46276, 449      , 0          , 256       , 0          , 0          , 4267        , 131.1298    , 645          , 43377220     , 29.42494, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 170              , 445       , 44.46276, 449      , 0          , 324       , 18         , .01265445  , 4247        , 130.5802    , 909          , 61131710     , 35.09498, .48E10
 , ,, , , ,220             
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 220              , 495       , 41.50012, 449      , 0          , 36        , 0          , 0          , 3746        , 125.391     , 149          , 10020570     , 14.02265, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 220              , 495       , 41.50012, 449      , 0          , 64        , 0          , 0          , 3746        , 125.391     , 163          , 10962100     , 14.67011, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 220              , 495       , 41.50012, 449      , 0          , 100       , 0          , 0          , 3746        , 125.391     , 168          , 11298350     , 14.89466, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 220              , 495       , 41.50012, 449      , 0          , 144       , 0          , 0          , 3746        , 125.391     , 184          , 12374380     , 15.59202, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 220              , 495       , 41.50012, 449      , 0          , 196       , 0          , 0          , 3746        , 125.391     , 320          , 21520620     , 20.60969, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 220              , 495       , 41.50012, 449      , 0          , 256       , 0          , 0          , 3746        , 125.391     , 513          , 34500060     , 26.18161, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 220              , 495       , 41.50012, 449      , 0          , 324       , 0          , 0          , 3746        , 125.391     , 766          , 51514680     , 32.13469, -1    
 , ,, , , ,270             
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 270              , 545       , 38.84731, 449      , 0          , 36        , 0          , 0          , 3273        , 118.8845    , 129          , 8675507      , 13.04324, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 270              , 545       , 38.84731, 449      , 0          , 64        , 0          , 0          , 3273        , 118.8845    , 148          , 9953294      , 13.97528, -1    
   .0004    ,         25, 1.76      , 150        , -20   , 200    , 270              , 545       , 38.84731, 449      , 0          , 100       , 0          , 0          , 3273        , 118.8845    , 161          , 10827570     , 14.57934, -1    
