 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,58.768656,3,3,75,75,75,37.5,37.5,9,73,0.8999999,7.3
2.1,58.768656,3,3,112.5,112.5,75,37.5,37.5,9,74,0.8999999,7.4
2.1,58.768656,3,3,150,150,75,37.5,37.5,9,77,0.8999999,7.7
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,58.768656,3,3,75,75,75,37.5,37.5,9,73,0.8999999,7.3
2.1,58.768656,3,3,91.07142857,91.07142857,75,37.5,37.5,9,75,0.8999999,7.5
2.1,58.768656,3,3,107.1428571,107.1428571,75,37.5,37.5,9,74,0.8999999,7.4
2.1,58.768656,3,3,123.2142857,123.2142857,75,37.5,37.5,9,74,0.8999999,7.4
2.1,58.768656,3,3,139.2857143,139.2857143,75,37.5,37.5,9,73,0.8999999,7.3
2.1,58.768656,3,3,155.3571429,155.3571429,75,37.5,37.5,9,73,0.8999999,7.3
2.1,58.768656,3,3,171.4285714,171.4285714,75,37.5,37.5,9,75,0.8999999,7.5
2.1,58.768656,3,3,187.5,187.5,75,37.5,37.5,9,72,0.8999999,7.2
2.1,58.768656,3,3,187.5,187.5,75,37.5,37.5,9,72,0.8999999,7.2
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,3.9179104,3,3,12.5,12.5,75,2.5,2.5,4,2,0.4,0.2
2.1,7.8358209,3,3,25,25,75,5,5,3,1,0.3,0.09999999
2.1,11.753731,3,3,37.5,37.5,75,7.5,7.5,6,17,0.6,1.7
2.1,15.671641,3,3,50,50,75,10,10,7,27,0.7,2.7
2.1,19.589552,3,3,62.5,62.5,75,12.5,12.5,8,26,0.8,2.6
2.1,23.507462,3,3,75,75,75,15,15,8,32,0.8,3.2
2.1,27.425373,3,3,87.5,87.5,75,17.5,17.5,10,37,0.9999999,3.7
2.1,31.343283,3,3,100,100,75,20,20,6,43,0.6,4.3
