 bk-7 ball   
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.516     , 1101.7441 , 10               , 7                   , 5              , .699999999999999955, .5                
 1.516     , 1101.7441 , 20               , 9                   , 8              , .899999899999999963, .80000000000000004
 1.516     , 1101.7441 , 30               , 5                   , 7              , .5                 , .69999999999999995
 1.516     , 1101.7441 , 40               , 7                   , 7              , .699999999999999955, .69999999999999995
 1.516     , 1101.7441 , 50               , 7                   , 7              , .699999999999999955, .69999999999999995
 1.516     , 1101.7441 , 60               , 8                   , 8              , .800000000000000044, .80000000000000004
 1.516     , 1101.7441 , 70               , 4                   , 3              , .400000000000000022, .29999999999999998
 1.516     , 1101.7441 , 80               , 6                   , 7              , .599999999999999977, .69999999999999995
 1.516     , 1101.7441 , 90               , 7                   , 3              , .699999999999999955, .29999999999999998
 1.516     , 1101.7441 , 100              , 6                   , 8              , .599999999999999977, .80000000000000004
 1.516     , 1101.7441 , 110              , 6                   , 9              , .599999999999999977, .89999989999999996
 1.516     , 1101.7441 , 120              , 5                   , 5              , .5                 , .5                
 1.516     , 1101.7441 , 130              , 8                   , 4              , .800000000000000044, .40000000000000002
 1.516     , 1101.7441 , 140              , 6                   , 6              , .599999999999999977, .59999999999999997
 1.516     , 1101.7441 , 150              , 7                   , 4              , .699999999999999955, .40000000000000002
 1.516     , 1101.7441 , 160              , 8                   , 4              , .800000000000000044, .40000000000000002
 1.516     , 1101.7441 , 170              , 5                   , 5              , .5                 , .5                
 1.516     , 1101.7441 , 180              , 5                   , 4              , .5                 , .40000000000000002
 1.516     , 1101.7441 , 190              , 2                   , 9              , .200000000000000011, .89999989999999996
 1.516     , 1101.7441 , 200              , 5                   , 7              , .5                 , .69999999999999995
 1.516     , 1101.7441 , 210              , 3                   , 3              , .299999999999999988, .29999999999999998
 1.516     , 1101.7441 , 220              , 3                   , 8              , .299999999999999988, .80000000000000004
 1.516     , 1101.7441 , 230              , 2                   , 3              , .200000000000000011, .29999999999999998
 1.516     , 1101.7441 , 240              , 2                   , 4              , .200000000000000011, .40000000000000002
 1.516     , 1101.7441 , 250              , 4                   , 2              , .400000000000000022, .20000000000000001
 1.516     , 1101.7441 , 260              , 3                   , 4              , .299999999999999988, .40000000000000002
 1.516     , 1101.7441 , 270              , 3                   , 4              , .299999999999999988, .40000000000000002
 1.516     , 1101.7441 , 280              , 5                   , 3              , .5                 , .29999999999999998
 1.516     , 1101.7441 , 290              , 3                   , 2              , .299999999999999988, .20000000000000001
 1.516     , 1101.7441 , 300              , 6                   , 6              , .599999999999999977, .59999999999999997
 1.516     , 1101.7441 , 250              , 4                   , 2              , .400000000000000022, .20000000000000001
 EM_WAVE,.59       ,AIR_GAP,         2.,LENS_DIA,250        ,DET_RAD,125         
          
 sapphire ball   
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.77      , 260.29411 , 10               , 9                   , 27             , .899999899999999963, 2.7000000000000001
 1.77      , 260.29411 , 20               , 10                  , 29             , .999999900000000052, 2.8999999999999999
 1.77      , 260.29411 , 30               , 10                  , 43             , .999999900000000052, 4.2999999999999998
 1.77      , 260.29411 , 40               , 8                   , 34             , .800000000000000044, 3.3999999999999999
 1.77      , 260.29411 , 50               , 7                   , 40             , .699999999999999955, 4                 
 1.77      , 260.29411 , 60               , 8                   , 43             , .800000000000000044, 4.2999999999999998
 1.77      , 260.29411 , 70               , 6                   , 39             , .599999999999999977, 3.8999999999999999
 1.77      , 260.29411 , 80               , 5                   , 31             , .5                 , 3.1               
 1.77      , 260.29411 , 90               , 5                   , 28             , .5                 , 2.7999999999999998
 1.77      , 260.29411 , 100              , 5                   , 39             , .5                 , 3.8999999999999999
 1.77      , 260.29411 , 110              , 5                   , 40             , .5                 , 4                 
 1.77      , 260.29411 , 120              , 5                   , 26             , .5                 , 2.6               
 1.77      , 260.29411 , 130              , 5                   , 34             , .5                 , 3.3999999999999999
 1.77      , 260.29411 , 140              , 5                   , 40             , .5                 , 4                 
 1.77      , 260.29411 , 150              , 4                   , 32             , .400000000000000022, 3.2000000000000001
 1.77      , 260.29411 , 160              , 4                   , 36             , .400000000000000022, 3.6               
 1.77      , 260.29411 , 170              , 4                   , 34             , .400000000000000022, 3.3999999999999999
 1.77      , 260.29411 , 180              , 3                   , 32             , .299999999999999988, 3.2000000000000001
 1.77      , 260.29411 , 190              , 4                   , 35             , .400000000000000022, 3.5               
 1.77      , 260.29411 , 200              , 3                   , 39             , .299999999999999988, 3.8999999999999999
 1.77      , 260.29411 , 210              , 3                   , 32             , .299999999999999988, 3.2000000000000001
 1.77      , 260.29411 , 220              , 4                   , 27             , .400000000000000022, 2.7000000000000001
 1.77      , 260.29411 , 230              , 4                   , 33             , .400000000000000022, 3.2999999999999998
 1.77      , 260.29411 , 240              , 4                   , 34             , .400000000000000022, 3.3999999999999999
 1.77      , 260.29411 , 250              , 6                   , 37             , .599999999999999977, 3.7000000000000001
 1.77      , 260.29411 , 260              , 4                   , 33             , .400000000000000022, 3.2999999999999998
 1.77      , 260.29411 , 270              , 3                   , 30             , .299999999999999988, 3                 
 1.77      , 260.29411 , 280              , 7                   , 28             , .699999999999999955, 2.7999999999999998
 1.77      , 260.29411 , 290              , 4                   , 36             , .400000000000000022, 3.6               
 1.77      , 260.29411 , 300              , 5                   , 36             , .5                 , 3.6               
 1.77      , 260.29411 , 120              , 5                   , 26             , .5                 , 2.6               
 EM_WAVE,.59       ,AIR_GAP,         2.,LENS_DIA,200        ,DET_RAD,100         
          
 sapphire ball   
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.77      , 195.22058 , 10               , 11                  , 30             , 1.10000000000000008, 3                 
 1.77      , 195.22058 , 20               , 7                   , 36             , .699999999999999955, 3.6               
 1.77      , 195.22058 , 30               , 8                   , 38             , .800000000000000044, 3.7999999999999998
 1.77      , 195.22058 , 40               , 10                  , 29             , .999999900000000052, 2.8999999999999999
 1.77      , 195.22058 , 50               , 8                   , 40             , .800000000000000044, 4                 
 1.77      , 195.22058 , 60               , 5                   , 39             , .5                 , 3.8999999999999999
 1.77      , 195.22058 , 70               , 7                   , 33             , .699999999999999955, 3.2999999999999998
 1.77      , 195.22058 , 80               , 6                   , 36             , .599999999999999977, 3.6               
 1.77      , 195.22058 , 90               , 4                   , 26             , .400000000000000022, 2.6               
 1.77      , 195.22058 , 100              , 8                   , 37             , .800000000000000044, 3.7000000000000001
 1.77      , 195.22058 , 110              , 5                   , 26             , .5                 , 2.6               
 1.77      , 195.22058 , 120              , 5                   , 30             , .5                 , 3                 
 1.77      , 195.22058 , 130              , 4                   , 30             , .400000000000000022, 3                 
