 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS    ,Improvement,,
1.5,401.78571,0,1,1,1,,
1.6,176.47058,86.02941176,4,9,2.25,,
1.7,118.05555,144.4444444,4,20,5,,
1.8,91.216216,171.2837838,4,34,8.5,,
1.9,75.797872,186.7021277,4,38,9.5,,
2,65.789473,196.7105263,4,45,11.25,,
2.1,58.768656,203.7313433,4,43,10.75,,
2.2,53.571428,208.9285714,4,47,11.75,,
1.55,242.1875,20.3125,4,6,1.5,,
 EM_WAVE,0.59,AIR_GAP,2,LENS_DIA,75,,
          ,,,,,,,
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS    ,Improvement,,
1.5,401.78571,37.5,2,0,0,,
1.6,176.47058,37.5,4,9,2.25,,
1.7,118.05555,37.5,4,19,4.75,,
1.8,91.216216,37.5,5,34,6.8,,
1.9,75.797872,37.5,9,45,5,,
2,65.789473,37.5,9,61,6.777777778,,
2.1,58.768656,37.5,9,73,8.111111111,,
2.2,53.571428,37.5,9,76,8.444444444,,
1.55,242.1875,37.5,5,5,1,,
 EM_WAVE,0.59,AIR_GAP,2,LENS_DIA,75,,
          ,,,,,,,
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS    ,Improvement,,
1.5,401.78571,37.5,4,0,0,,
1.6,176.47058,37.5,5,9,1.8,,
1.7,118.05555,37.5,9,19,2.111111111,,
1.8,91.216216,37.5,10,34,3.4,,
1.9,75.797872,37.5,12,49,4.083333333,,
2,65.789473,37.5,12,62,5.166666667,,
2.1,58.768656,37.5,12,78,6.5,,
2.2,53.571428,37.5,12,79,6.583333333,,
1.55,242.1875,37.5,6,5,0.833333333,,
 EM_WAVE,0.59,AIR_GAP,2,LENS_DIA,75,DET_RAD,50
          ,,,,,,,
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS    ,Improvement,,
1.5,401.78571,37.5,0,0,#DIV/0!,,
1.6,176.47058,37.5,3,9,3,,
1.7,118.05555,37.5,4,17,4.25,,
1.8,91.216216,37.5,4,34,8.5,,
1.9,75.797872,37.5,4,44,11,,
2,65.789473,37.5,4,59,14.75,,
2.1,58.768656,37.5,4,66,16.5,,
2.2,53.571428,37.5,4,73,18.25,,
1.55,242.1875,37.5,3,5,1.666666667,,
 EM_WAVE,0.59,AIR_GAP,2,LENS_DIA,75,DET_RAD,25
          ,,,,,,,
