 250UM SAPPHIRE 
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.768     , 326.92307 , 10               , 10                  , 41             , .999999900000000052, 4.0999999999999996
 1.768     , 326.92307 , 20               , 8                   , 33             , .800000000000000044, 3.2999999999999998
 1.768     , 326.92307 , 30               , 9                   , 39             , .899999899999999963, 3.8999999999999999
 1.768     , 326.92307 , 40               , 9                   , 33             , .899999899999999963, 3.2999999999999998
 1.768     , 326.92307 , 50               , 8                   , 30             , .800000000000000044, 3                 
 1.768     , 326.92307 , 60               , 8                   , 40             , .800000000000000044, 4                 
 1.768     , 326.92307 , 70               , 8                   , 38             , .800000000000000044, 3.7999999999999998
 1.768     , 326.92307 , 80               , 6                   , 38             , .599999999999999977, 3.7999999999999998
 1.768     , 326.92307 , 90               , 8                   , 36             , .800000000000000044, 3.6               
 1.768     , 326.92307 , 100              , 6                   , 37             , .599999999999999977, 3.7000000000000001
 1.768     , 326.92307 , 110              , 5                   , 31             , .5                 , 3.1               
 1.768     , 326.92307 , 120              , 6                   , 29             , .599999999999999977, 2.8999999999999999
 1.768     , 326.92307 , 130              , 6                   , 31             , .599999999999999977, 3.1               
 1.768     , 326.92307 , 140              , 5                   , 37             , .5                 , 3.7000000000000001
 1.768     , 326.92307 , 150              , 6                   , 28             , .599999999999999977, 2.7999999999999998
 1.768     , 326.92307 , 160              , 5                   , 39             , .5                 , 3.8999999999999999
 1.768     , 326.92307 , 170              , 6                   , 33             , .599999999999999977, 3.2999999999999998
 1.768     , 326.92307 , 180              , 5                   , 33             , .5                 , 3.2999999999999998
 1.768     , 326.92307 , 190              , 5                   , 38             , .5                 , 3.7999999999999998
 1.768     , 326.92307 , 200              , 6                   , 32             , .599999999999999977, 3.2000000000000001
 1.768     , 326.92307 , 210              , 4                   , 33             , .400000000000000022, 3.2999999999999998
 1.768     , 326.92307 , 220              , 4                   , 34             , .400000000000000022, 3.3999999999999999
 1.768     , 326.92307 , 230              , 4                   , 29             , .400000000000000022, 2.8999999999999999
 1.768     , 326.92307 , 240              , 5                   , 35             , .5                 , 3.5               
 1.768     , 326.92307 , 250              , 4                   , 32             , .400000000000000022, 3.2000000000000001
 1.768     , 326.92307 , 260              , 4                   , 32             , .400000000000000022, 3.2000000000000001
 1.768     , 326.92307 , 270              , 4                   , 39             , .400000000000000022, 3.8999999999999999
 1.768     , 326.92307 , 280              , 3                   , 35             , .299999999999999988, 3.5               
 1.768     , 326.92307 , 290              , 5                   , 30             , .5                 , 3                 
 1.768     , 326.92307 , 300              , 4                   , 37             , .400000000000000022, 3.7000000000000001
 1.768     , 326.92307 , 150              , 6                   , 28             , .599999999999999977, 2.7999999999999998
 EM_WAVE,.59       ,AIR_GAP,         2.,LENS_DIA,250        ,DET_RAD,125         
          
 200UM SAPPHIRE 
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.768     , 261.53846 , 10               , 11                  , 41             , 1.10000000000000008, 4.0999999999999996
 1.768     , 261.53846 , 20               , 11                  , 35             , 1.10000000000000008, 3.5               
 1.768     , 261.53846 , 30               , 9                   , 33             , .899999899999999963, 3.2999999999999998
 1.768     , 261.53846 , 40               , 8                   , 34             , .800000000000000044, 3.3999999999999999
 1.768     , 261.53846 , 50               , 8                   , 40             , .800000000000000044, 4                 
 1.768     , 261.53846 , 60               , 8                   , 44             , .800000000000000044, 4.4000000000000003
 1.768     , 261.53846 , 70               , 8                   , 30             , .800000000000000044, 3                 
 1.768     , 261.53846 , 80               , 5                   , 39             , .5                 , 3.8999999999999999
 1.768     , 261.53846 , 90               , 5                   , 30             , .5                 , 3                 
 1.768     , 261.53846 , 100              , 5                   , 35             , .5                 , 3.5               
 1.768     , 261.53846 , 110              , 4                   , 41             , .400000000000000022, 4.0999999999999996
 1.768     , 261.53846 , 120              , 4                   , 28             , .400000000000000022, 2.7999999999999998
 1.768     , 261.53846 , 130              , 5                   , 32             , .5                 , 3.2000000000000001
 1.768     , 261.53846 , 140              , 5                   , 32             , .5                 , 3.2000000000000001
 1.768     , 261.53846 , 150              , 6                   , 38             , .599999999999999977, 3.7999999999999998
 1.768     , 261.53846 , 160              , 4                   , 41             , .400000000000000022, 4.0999999999999996
 1.768     , 261.53846 , 170              , 4                   , 37             , .400000000000000022, 3.7000000000000001
 1.768     , 261.53846 , 180              , 4                   , 33             , .400000000000000022, 3.2999999999999998
 1.768     , 261.53846 , 190              , 4                   , 34             , .400000000000000022, 3.3999999999999999
 1.768     , 261.53846 , 200              , 4                   , 29             , .400000000000000022, 2.8999999999999999
 1.768     , 261.53846 , 210              , 4                   , 40             , .400000000000000022, 4                 
 1.768     , 261.53846 , 220              , 4                   , 36             , .400000000000000022, 3.6               
 1.768     , 261.53846 , 230              , 5                   , 29             , .5                 , 2.8999999999999999
 1.768     , 261.53846 , 240              , 4                   , 33             , .400000000000000022, 3.2999999999999998
 1.768     , 261.53846 , 250              , 4                   , 32             , .400000000000000022, 3.2000000000000001
 1.768     , 261.53846 , 260              , 5                   , 34             , .5                 , 3.3999999999999999
 1.768     , 261.53846 , 270              , 4                   , 26             , .400000000000000022, 2.6               
 1.768     , 261.53846 , 280              , 5                   , 34             , .5                 , 3.3999999999999999
 1.768     , 261.53846 , 290              , 4                   , 27             , .400000000000000022, 2.7000000000000001
 1.768     , 261.53846 , 300              , 6                   , 33             , .599999999999999977, 3.2999999999999998
 1.768     , 261.53846 , 270              , 4                   , 26             , .400000000000000022, 2.6               
 EM_WAVE,.59       ,AIR_GAP,         2.,LENS_DIA,200        ,DET_RAD,100         
          
 162UM SAPPHIRE 
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.768     , 211.84615 , 10               , 10                  , 29             , .999999900000000052, 2.8999999999999999
 1.768     , 211.84615 , 20               , 8                   , 32             , .800000000000000044, 3.2000000000000001
 1.768     , 211.84615 , 30               , 10                  , 29             , .999999900000000052, 2.8999999999999999
 1.768     , 211.84615 , 40               , 10                  , 37             , .999999900000000052, 3.7000000000000001
 1.768     , 211.84615 , 50               , 8                   , 36             , .800000000000000044, 3.6               
 1.768     , 211.84615 , 60               , 8                   , 30             , .800000000000000044, 3                 
 1.768     , 211.84615 , 70               , 6                   , 26             , .599999999999999977, 2.6               
 1.768     , 211.84615 , 80               , 5                   , 30             , .5                 , 3                 
 1.768     , 211.84615 , 90               , 5                   , 39             , .5                 , 3.8999999999999999
 1.768     , 211.84615 , 100              , 6                   , 32             , .599999999999999977, 3.2000000000000001
 1.768     , 211.84615 , 110              , 5                   , 41             , .5                 , 4.0999999999999996
 1.768     , 211.84615 , 120              , 3                   , 38             , .299999999999999988, 3.7999999999999998
 1.768     , 211.84615 , 130              , 4                   , 30             , .400000000000000022, 3                 
 1.768     , 211.84615 , 140              , 3                   , 32             , .299999999999999988, 3.2000000000000001
 1.768     , 211.84615 , 150              , 4                   , 39             , .400000000000000022, 3.8999999999999999
 1.768     , 211.84615 , 160              , 4                   , 38             , .400000000000000022, 3.7999999999999998
 1.768     , 211.84615 , 170              , 4                   , 32             , .400000000000000022, 3.2000000000000001
 1.768     , 211.84615 , 180              , 4                   , 31             , .400000000000000022, 3.1               
 1.768     , 211.84615 , 190              , 3                   , 35             , .299999999999999988, 3.5               
 1.768     , 211.84615 , 200              , 4                   , 27             , .400000000000000022, 2.7000000000000001
 1.768     , 211.84615 , 210              , 4                   , 29             , .400000000000000022, 2.8999999999999999
 1.768     , 211.84615 , 220              , 4                   , 37             , .400000000000000022, 3.7000000000000001
 1.768     , 211.84615 , 230              , 4                   , 25             , .400000000000000022, 2.5               
 1.768     , 211.84615 , 240              , 4                   , 32             , .400000000000000022, 3.2000000000000001
 1.768     , 211.84615 , 250              , 4                   , 34             , .400000000000000022, 3.3999999999999999
 1.768     , 211.84615 , 260              , 4                   , 24             , .400000000000000022, 2.3999999999999999
 1.768     , 211.84615 , 270              , 4                   , 26             , .400000000000000022, 2.6               
 1.768     , 211.84615 , 280              , 4                   , 34             , .400000000000000022, 3.3999999999999999
 1.768     , 211.84615 , 290              , 3                   , 23             , .299999999999999988, 2.2999999999999998
 1.768     , 211.84615 , 300              , 4                   , 26             , .400000000000000022, 2.6               
 1.768     , 211.84615 , 290              , 3                   , 23             , .299999999999999988, 2.2999999999999998
 EM_WAVE,.59       ,AIR_GAP,         2.,LENS_DIA,162        ,DET_RAD,81          
          
 162UM SAPPHIRE 
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.768     , 211.84615 , 20               , 12                  , 53             , 1.19999999999999995, 5.2999999999999998
 1.768     , 211.84615 , 20               , 10                  , 51             , .999999900000000052, 5.0999999999999996
 1.768     , 211.84615 , 20               , 11                  , 54             , 1.10000000000000008, 5.4000000000000003
 1.768     , 211.84615 , 20               , 10                  , 52             , .999999900000000052, 5.2000000000000001
 1.768     , 211.84615 , 20               , 11                  , 47             , 1.10000000000000008, 4.7000000000000001
 1.768     , 211.84615 , 20               , 11                  , 49             , 1.10000000000000008, 4.9000000000000003
 1.768     , 211.84615 , 20               , 12                  , 47             , 1.19999999999999995, 4.7000000000000001
 1.768     , 211.84615 , 20               , 10                  , 48             , .999999900000000052, 4.7999999999999998
 1.768     , 211.84615 , 20               , 12                  , 47             , 1.19999999999999995, 4.7000000000000001
 1.768     , 211.84615 , 20               , 8                   , 38             , .800000000000000044, 3.7999999999999998
 1.768     , 211.84615 , 20               , 10                  , 33             , .999999900000000052, 3.2999999999999998
 1.768     , 211.84615 , 20               , 11                  , 36             , 1.10000000000000008, 3.6               
 1.768     , 211.84615 , 20               , 10                  , 40             , .999999900000000052, 4                 
 1.768     , 211.84615 , 20               , 8                   , 39             , .800000000000000044, 3.8999999999999999
 1.768     , 211.84615 , 20               , 7                   , 30             , .699999999999999955, 3                 
 1.768     , 211.84615 , 20               , 10                  , 26             , .999999900000000052, 2.6               
 1.768     , 211.84615 , 20               , 11                  , 31             , 1.10000000000000008, 3.1               
 1.768     , 211.84615 , 20               , 8                   , 24             , .800000000000000044, 2.3999999999999999
 1.768     , 211.84615 , 20               , 10                  , 28             , .999999900000000052, 2.7999999999999998
