 PDMS_CHAN_DET (um) , AIR_GAP (um), DET_RAD (um) ,NUMBEROFRAYS, FLUXDETECTED    
 20               , 2         , 5          ,6              , .59999999999999997
 20               , 2         , 10         ,16             , 1.6               
 20               , 2         , 15         ,34             , 3.3999999999999999
 20               , 2         , 20         ,62             , 6.2000000000000001
 20               , 2         , 25         ,85             , 8.4999990000000007
 20               , 2         , 30         ,106            , 10.599999999999999
 20               , 2         , 35         ,116            , 11.599999999999999
 20               , 2         , 40         ,128            , 12.8              
 20               , 2         , 45         ,135            , 13.5              
 20               , 2         , 50         ,137            , 13.699999999999999
 20               , 2         , 55         ,138            , 13.8              
 20               , 2         , 60         ,138            , 13.8              
 20               , 2         , 65         ,138            , 13.8              
 20               , 2         , 70         ,138            , 13.8              
 20               , 2         , 75         ,138            , 13.8              
 20               , 2         , 80         ,138            , 13.8              
 20               , 2         , 85         ,138            , 13.8              
 20               , 2         , 90         ,138            , 13.8              
 20               , 2         , 95         ,138            , 13.8              
 20               , 2         , 100        ,138            , 13.8              
 20               , 2         , 5          ,6              , .59999999999999997
 EM_WAVE,.59       
          
 PDMS_CHAN_DET (um) , AIR_GAP (um), DET_RAD (um) ,NUMBEROFRAYS, FLUXDETECTED    
 0                , 2         , 50         ,33             , 3.2999999999999998
 5                , 2         , 50         ,137            , 13.699999999999999
 10               , 2         , 50         ,129            , 12.9              
 15               , 2         , 50         ,133            , 13.3              
 20               , 2         , 50         ,137            , 13.699999999999999
 25               , 2         , 50         ,139            , 13.9              
 30               , 2         , 50         ,127            , 12.699999999999999
 35               , 2         , 50         ,129            , 12.9              
 40               , 2         , 50         ,117            , 11.699999999999999
 45               , 2         , 50         ,107            , 10.699999999999999
 50               , 2         , 50         ,104            , 10.4              
 55               , 2         , 50         ,91             , 9.0999990000000003
 60               , 2         , 50         ,76             , 7.5999999999999996
 65               , 2         , 50         ,70             , 7                 
 70               , 2         , 50         ,65             , 6.5               
 75               , 2         , 50         ,54             , 5.4000000000000003
 80               , 2         , 50         ,52             , 5.2000000000000001
 85               , 2         , 50         ,47             , 4.7000000000000001
 90               , 2         , 50         ,45             , 4.5               
 95               , 2         , 50         ,40             , 4                 
 100              , 2         , 50         ,35             , 3.5               
 0                , 2         , 50         ,33             , 3.2999999999999998
 EM_WAVE,.59       
            
 PDMS_CHAN_DET (um) , AIR_GAP (um), DET_RAD (um) ,NUMBEROFRAYS, FLUXDETECTED    
 0                , 2         , 50         ,35             , 3.5               
 5                , 2         , 50         ,133            , 13.3              
 10               , 2         , 50         ,147            , 14.699999999999999
 15               , 2         , 50         ,133            , 13.3              
 20               , 2         , 50         ,139            , 13.9              
 25               , 2         , 50         ,141            , 14.099999999999999
 30               , 2         , 50         ,131            , 13.099999999999999
 35               , 2         , 50         ,130            , 13                
 40               , 2         , 50         ,122            , 12.199999999999999
 45               , 2         , 50         ,117            , 11.699999999999999
 50               , 2         , 50         ,104            , 10.4              
 55               , 2         , 50         ,95             , 9.4999990000000007
 60               , 2         , 50         ,85             , 8.4999990000000007
 65               , 2         , 50         ,73             , 7.2999999999999998
 70               , 2         , 50         ,68             , 6.7999999999999998
 75               , 2         , 50         ,62             , 6.2000000000000001
 80               , 2         , 50         ,53             , 5.2999999999999998
 85               , 2         , 50         ,50             , 5                 
 90               , 2         , 50         ,47             , 4.7000000000000001
 95               , 2         , 50         ,39             , 3.8999999999999999
 100              , 2         , 50         ,36             , 3.6               
 0                , 2         , 50         ,35             , 3.5               
 EM_WAVE,.59       ,TIO_REFL,.5         ,TIO_ABS,.5        
          
 PDMS_CHAN_DET (um) , AIR_GAP (um), DET_RAD (um) ,NUMBEROFRAYS, FLUXDETECTED    
 25               , 0         , 50         ,97             , 9.699999          
 25               , 1         , 50         ,141            , 14.099999999999999
 25               , 2         , 50         ,141            , 14.099999999999999
 25               , 3         , 50         ,139            , 13.9              
 25               , 4         , 50         ,135            , 13.5              
 25               , 5         , 50         ,133            , 13.3              
 25               , 6         , 50         ,131            , 13.099999999999999
 25               , 7         , 50         ,125            , 12.5              
 25               , 8         , 50         ,121            , 12.099999999999999
 25               , 9         , 50         ,119            , 11.9              
 25               , 10        , 50         ,116            , 11.599999999999999
 25               , 0         , 50         ,97             , 9.699999          
 EM_WAVE,.59       ,TIO_REFL,.5         ,TIO_ABS,.5        
          
