 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um),  PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,4        , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 76             , 7.5                , 7.5999999999999996
 .59       ,6        , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 66             , 7.5                , 6.5999999999999996
 .59       ,8        , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 62             , 7.5                , 6.2000000000000001
 .59       ,10       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 59             , 7.5                , 5.9000000000000003
 .59       ,12       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 57             , 7.5                , 5.7000000000000001
 .59       ,14       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 48             , 7.5                , 4.7999999999999998
 .59       ,16       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 45             , 7.5                , 4.5               
 .59       ,18       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 41             , 7.5                , 4.0999999999999996
 .59       ,20       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 46             , 7.5                , 4.5999999999999996
 .59       ,22       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 49             , 7.5                , 4.9000000000000003
 .59       ,24       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 45             , 7.5                , 4.5               
 .59       ,26       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 45             , 7.5                , 4.5               
 .59       ,28       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 46             , 7.5                , 4.5999999999999996
 .59       ,30       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 46             , 7.5                , 4.5999999999999996
 .59       ,32       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 49             , 7.5                , 4.9000000000000003
 .59       ,34       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 50             , 7.5                , 5                 
 .59       ,36       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 52             , 7.5                , 5.2000000000000001
 .59       ,38       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 49             , 7.5                , 4.9000000000000003
 .59       ,40       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 50             , 7.5                , 5                 
 .59       ,42       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 48             , 7.5                , 4.7999999999999998
 .59       ,44       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 47             , 7.5                , 4.7000000000000001
 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um),  PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,42       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 49             , 7.5                , 4.9000000000000003
 .59       ,44       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 47             , 7.5                , 4.7000000000000001
 .59       ,46       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 52             , 7.5                , 5.2000000000000001
          
 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,42       , 100      , 3.7052        , 51.298266 , 10                , 5                , 51.298266 , 20                  , 42             , 2                  , 4.2000000000000001
 .59       ,44       , 100      , 3.7052        , 52.5783263, 10                , 5                , 52.5783263, 20                  , 42             , 2                  , 4.2000000000000001
 .59       ,46       , 100      , 3.7052        , 53.8344211, 10                , 5                , 53.8344211, 21                  , 44             , 2.10000000000000008, 4.4000000000000003
          
 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,8        , 100      , 3.7052        , 21.8533658, 10                , 5                , 21.8533658, 4                   , 8              , .400000000000000022, .80000000000000004
 .59       ,12       , 100      , 3.7052        , 26.8427196, 10                , 5                , 26.8427196, 7                   , 17             , .699999999999999955, 1.6999999999999999
 .59       ,16       , 100      , 3.7052        , 31.0850189, 10                , 5                , 31.0850189, 10                  , 20             , .999999900000000052, 2                 
 .59       ,20       , 100      , 3.7052        , 34.8541245, 10                , 5                , 34.8541245, 11                  , 29             , 1.10000000000000008, 2.8999999999999999
 .59       ,24       , 100      , 3.7052        , 38.29003  , 10                , 5                , 38.29003  , 12                  , 35             , 1.19999999999999995, 3.5               
 .59       ,28       , 100      , 3.7052        , 41.4756265, 10                , 5                , 41.4756265, 13                  , 39             , 1.30000000000000004, 3.8999999999999999
 .59       ,32       , 100      , 3.7052        , 44.4647455, 10                , 5                , 44.4647455, 14                  , 41             , 1.39999999999999991, 4.0999999999999996
 .59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 5                , 47.294655 , 16                  , 46             , 1.60000000000000008, 4.5999999999999996
 .59       ,40       , 100      , 3.7052        , 49.9923994, 10                , 5                , 49.9923994, 18                  , 43             , 1.80000000000000004, 4.2999999999999998
 .59       ,44       , 100      , 3.7052        , 52.5783263, 10                , 5                , 52.5783263, 20                  , 42             , 2                  , 4.2000000000000001
          
 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,36       , 100      , 1.8526        , 47.294655 , 10                , 5                , 47.294655 , 16                  , 44             , 1.60000000000000008, 4.4000000000000003
 .59       ,36       , 100      , 2.189436363636, 47.294655 , 10                , 5                , 47.294655 , 16                  , 47             , 1.60000000000000008, 4.7000000000000001
 .59       ,36       , 100      , 2.526272727272, 47.294655 , 10                , 5                , 47.294655 , 16                  , 44             , 1.60000000000000008, 4.4000000000000003
 .59       ,36       , 100      , 2.863109090909, 47.294655 , 10                , 5                , 47.294655 , 16                  , 42             , 1.60000000000000008, 4.2000000000000001
 .59       ,36       , 100      , 3.199945454545, 47.294655 , 10                , 5                , 47.294655 , 16                  , 44             , 1.60000000000000008, 4.4000000000000003
 .59       ,36       , 100      , 3.536781818181, 47.294655 , 10                , 5                , 47.294655 , 16                  , 44             , 1.60000000000000008, 4.4000000000000003
 .59       ,36       , 100      , 3.873618181818, 47.294655 , 10                , 5                , 47.294655 , 16                  , 47             , 1.60000000000000008, 4.7000000000000001
 .59       ,36       , 100      , 4.210454545454, 47.294655 , 10                , 5                , 47.294655 , 16                  , 49             , 1.60000000000000008, 4.9000000000000003
