 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 7.5         , 7.5         , 10         , 11.25      , 5                , 17                  , 0              , 1.69999999999999995, 0                 
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 10.833333333, 10.833333333, 14.44444444, 16.25      , 7.22222222222222 , 26                  , 0              , 2.60000000000000008, 0                 
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 14.166666666, 14.166666666, 18.88888888, 21.25      , 9.44444444444444 , 28                  , 0              , 2.79999999999999982, 0                 
 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 7.5         , 7.5         , 10         , 11.25      , 5                , 3                   , 25             , .299999999999999988, 2.5               
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 10.833333333, 10.833333333, 14.44444444, 16.25      , 7.22222222222222 , 9                   , 29             , .899999899999999963, 2.8999999999999999
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 14.166666666, 14.166666666, 18.88888888, 21.25      , 9.44444444444444 , 12                  , 35             , 1.19999999999999995, 3.5               
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 17.5        , 17.5        , 23.33333333, 26.25      , 11.6666666666666 , 16                  , 47             , 1.60000000000000008, 4.7000000000000001
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 20.833333333, 20.833333333, 27.77777777, 31.25      , 13.8888888888888 , 20                  , 61             , 2                  , 6.0999999999999996
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 24.166666666, 24.166666666, 32.22222222, 36.25      , 16.1111111111111 , 28                  , 64             , 2.79999999999999982, 6.4000000000000003
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 27.5        , 27.5        , 36.66666666, 41.25      , 18.3333333333333 , 38                  , 57             , 3.79999999999999982, 5.7000000000000001
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 30.833333333, 30.833333333, 41.11111111, 46.25      , 20.5555555555555 , 45                  , 70             , 4.5                , 7                 
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 34.166666666, 34.166666666, 45.55555555, 51.25      , 22.7777777777777 , 54                  , 78             , 5.40000000000000035, 7.7999999999999998
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 37.5        , 37.5        , 50         , 56.25      , 25               , 56                  , 82             , 5.59999999999999964, 8.1999999999999992
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 7.5         , 7.5         , 10         , 11.25      , 5                , 3                   , 25             , .299999999999999988, 2.5               
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 12.5        , 12.5        , 10         , 18.75      , 5                , 9                   , 28             , .899999899999999963, 2.7999999999999998
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 18.055555555, 18.055555555, 14.44444444, 27.0833333 , 7.22222222222222 , 19                  , 37             , 1.89999999999999991, 3.7000000000000001
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 23.611111111, 23.611111111, 18.88888888, 35.4166666 , 9.44444444444444 , 34                  , 66             , 3.39999999999999991, 6.5999999999999996
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 29.166666666, 29.166666666, 23.33333333, 43.75      , 11.6666666666666 , 50                  , 64             , 5                  , 6.4000000000000003
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 34.722222222, 34.722222222, 27.77777777, 52.0833333 , 13.8888888888888 , 59                  , 86             , 5.90000000000000035, 8.5999990000000003
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 40.277777777, 40.277777777, 32.22222222, 60.4166666 , 16.1111111111111 , 75                  , 78             , 7.5                , 7.7999999999999998
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 45.833333333, 45.833333333, 36.66666666, 68.75      , 18.3333333333333 , 92                  , 77             , 9.19999900000000003, 7.7000000000000001
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 51.388888888, 51.388888888, 41.11111111, 77.0833333 , 20.5555555555555 , 104                 , 75             , 10.4000000000000003, 7.5               
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 56.944444444, 56.944444444, 45.55555555, 85.4166666 , 22.7777777777777 , 113                 , 85             , 11.3000000000000007, 8.4999990000000007
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 62.5        , 62.5        , 50         , 93.75      , 25               , 122                 , 81             , 12.1999999999999992, 8.0999999999999996
 1.7            , .005 , 50            , 39.179104, 3        , 3        , 12.5        , 12.5        , 10         , 18.75      , 5                , 9                   , 28             , .899999899999999963, 2.7999999999999998
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.7            , .005 , 50            , 3        , 3        , 50          , 50          , 50         , 75         , 25               , 99                  , 79             , 9.89999899999999932, 7.9000000000000003
 1.7            , .005 , 50            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375     , 25               , 110                 , 74             , 11                 , 7.4000000000000003
 1.7            , .005 , 50            , 3        , 3        , 62.5        , 62.5        , 50         , 93.75      , 25               , 122                 , 81             , 12.1999999999999992, 8.0999999999999996
 1.7            , .005 , 50            , 3        , 3        , 68.75       , 68.75       , 50         , 103.125    , 25               , 132                 , 83             , 13.1999999999999992, 8.3000000000000007
 1.7            , .005 , 50            , 3        , 3        , 75          , 75          , 50         , 112.5      , 25               , 134                 , 84             , 13.4000000000000003, 8.3999989999999993
