      
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.7           , .0305,75          , 50            , 10                , 37.5             , 37.5      , 20                  , 87             , 2                  , 8.699999          
 1.7           , .0305,75          , 50            , 32.5              , 37.5             , 37.5      , 12                  , 42             , 1.19999999999999995, 4.2000000000000001
 1.7           , .0305,75          , 50            , 55                , 37.5             , 37.5      , 11                  , 21             , 1.10000000000000008, 2.1               
 1.7           , .0305,75          , 50            , 77.5              , 37.5             , 37.5      , 9                   , 18             , .899999899999999963, 1.8               
 1.7           , .0305,75          , 50            , 100               , 37.5             , 37.5      , 9                   , 13             , .899999899999999963, 1.3               
 1.7           , .0305,75          , 50            , 100               , 37.5             , 37.5      , 9                   , 13             , .899999899999999963, 1.3               
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.7           , .0305,10          , 50            , 10                , 5                , 5         , 1                   , 2              , .099999989999999996, .20000000000000001
 1.7           , .0305,20          , 50            , 10                , 10               , 10        , 3                   , 7              , .299999999999999988, .69999999999999995
 1.7           , .0305,30          , 50            , 10                , 15               , 15        , 8                   , 20             , .800000000000000044, 2                 
 1.7           , .0305,40          , 50            , 10                , 20               , 20        , 9                   , 27             , .899999899999999963, 2.7000000000000001
 1.7           , .0305,50          , 50            , 10                , 25               , 25        , 10                  , 48             , .999999900000000052, 4.7999999999999998
 1.7           , .0305,60          , 50            , 10                , 30               , 30        , 14                  , 55             , 1.39999999999999991, 5.5               
 1.7           , .0305,70          , 50            , 10                , 35               , 35        , 17                  , 76             , 1.69999999999999995, 7.5999999999999996
 1.7           , .0305,80          , 50            , 10                , 40               , 40        , 20                  , 94             , 2                  , 9.3999989999999993
 1.7           , .0305,90          , 50            , 10                , 45               , 45        , 26                  , 98             , 2.60000000000000008, 9.7999989999999996
 1.7           , .0305,100         , 50            , 10                , 50               , 50        , 30                  , 108            , 3                  , 10.8              
 1.7           , .0305,10          , 50            , 10                , 5                , 5         , 1                   , 2              , .099999989999999996, .20000000000000001
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.7           , .0305,100         , 10            , 10                , 50               , 50        , 65                  , 100            , 6.5                , 9.9999990000000007
 1.7           , .0305,100         , 20            , 10                , 50               , 50        , 52                  , 95             , 5.20000000000000017, 9.4999990000000007
 1.7           , .0305,100         , 30            , 10                , 50               , 50        , 45                  , 111            , 4.5                , 11.099999999999999
 1.7           , .0305,100         , 40            , 10                , 50               , 50        , 35                  , 100            , 3.5                , 9.9999990000000007
 1.7           , .0305,100         , 50            , 10                , 50               , 50        , 30                  , 108            , 3                  , 10.8              
 1.7           , .0305,100         , 60            , 10                , 50               , 50        , 26                  , 99             , 2.60000000000000008, 9.8999989999999993
 1.7           , .0305,100         , 70            , 10                , 50               , 50        , 21                  , 102            , 2.10000000000000008, 10.199999999999999
 1.7           , .0305,100         , 80            , 10                , 50               , 50        , 17                  , 96             , 1.69999999999999995, 9.5999990000000003
 1.7           , .0305,100         , 90            , 10                , 50               , 50        , 14                  , 100            , 1.39999999999999991, 9.9999990000000007
 1.7           , .0305,100         , 100           , 10                , 50               , 50        , 12                  , 104            , 1.19999999999999995, 10.4              
 1.7           , .0305,100         , 20            , 10                , 50               , 50        , 52                  , 95             , 5.20000000000000017, 9.4999990000000007
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.7           , .005 ,100         , 50            , 10                , 50               , 50        , 30                  , 113            , 3                  , 11.3              
 1.7           , .0104,100         , 50            , 10                , 50               , 50        , 30                  , 75             , 3                  , 7.5               
 1.7           , .0178,100         , 50            , 10                , 50               , 50        , 30                  , 107            , 3                  , 10.699999999999999
 1.7           , .0272,100         , 50            , 10                , 50               , 50        , 30                  , 104            , 3                  , 10.4              
 1.7           , .0385,100         , 50            , 10                , 50               , 50        , 30                  , 99             , 3                  , 9.8999989999999993
 1.7           , .0519,100         , 50            , 10                , 50               , 50        , 30                  , 101            , 3                  , 10.099999999999999
 1.7           , .0672,100         , 50            , 10                , 50               , 50        , 30                  , 90             , 3                  , 8.9999990000000007
 1.7           , .0845,100         , 50            , 10                , 50               , 50        , 30                  , 94             , 3                  , 9.3999989999999993
 1.7           , .1037,100         , 50            , 10                , 50               , 50        , 30                  , 76             , 3                  , 7.5999999999999996
