 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .01543561293, .000294 , 0    , 21360.54, 50          , 53.40136054421, 20                , 20               , 31.25     , 13                  , 113            , 1.30000000000000004, 11.3              
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 48.24830977258, 20                , 20               , 31.25     , 16                  , 103            , 1.60000000000000008, 10.3              
 2.1           , .01873309564, .0003568, 0    , 17600.89, 50          , 44.00224215246, 20                , 20               , 31.25     , 17                  , 97             , 1.69999999999999995, 9.699999          
 2.1           , .02038191115, .0003882, 0    , 16177.22, 50          , 40.44307058217, 20                , 20               , 31.25     , 16                  , 96             , 1.60000000000000008, 9.5999990000000003
 2.1           , .02203078208, .0004196, 0    , 14966.63, 50          , 37.41658722592, 20                , 20               , 31.25     , 18                  , 95             , 1.80000000000000004, 9.4999990000000007
 2.1           , .02367971292, .000451 , 0    , 13924.61, 50          , 34.81152993348, 20                , 20               , 31.25     , 20                  , 89             , 2                  , 8.8999989999999993
 2.1           , .02532870815, .0004824, 0    , 13018.24, 50          , 32.54560530679, 20                , 20               , 31.25     , 24                  , 100            , 2.39999999999999991, 9.9999990000000007
 2.1           , .02697777228, .0005138, 0    , 12222.65, 50          , 30.55663682366, 20                , 20               , 31.25     , 22                  , 92             , 2.20000000000000017, 9.199999          
 2.1           , .02862690979, .0005452, 0    , 11518.7 , 50          , 28.79677182685, 20                , 20               , 31.25     , 25                  , 98             , 2.5                , 9.7999989999999996
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 27.22858133888, 20                , 20               , 31.25     , 25                  , 82             , 2.5                , 8.1999999999999992
 2.1           , .03192542296, .000608 , 0    , 10328.94, 50          , 25.82236842105, 20                , 20               , 31.25     , 25                  , 95             , 2.5                , 9.4999990000000007
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 27.22858133888, 20                , 20               , 31.25     , 25                  , 82             , 2.5                , 8.1999999999999992
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .01543561293, .000294 , 0    , 21360.54, 50          , 53.40136054421, 20                , 20               , 31.25     , 0                   , 12             , 0                  , 12                
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 48.24830977258, 20                , 20               , 31.25     , 1                   , 7              , 1                  , 7                 
 2.1           , .01873309564, .0003568, 0    , 17600.89, 50          , 44.00224215246, 20                , 20               , 31.25     , 1                   , 13             , 1                  , 13                
 2.1           , .02038191115, .0003882, 0    , 16177.22, 50          , 40.44307058217, 20                , 20               , 31.25     , 1                   , 8              , 1                  , 8                 
 2.1           , .02203078208, .0004196, 0    , 14966.63, 50          , 37.41658722592, 20                , 20               , 31.25     , 1                   , 6              , 1                  , 6                 
 2.1           , .02367971292, .000451 , 0    , 13924.61, 50          , 34.81152993348, 20                , 20               , 31.25     , 1                   , 13             , 1                  , 13                
 2.1           , .02532870815, .0004824, 0    , 13018.24, 50          , 32.54560530679, 20                , 20               , 31.25     , 1                   , 6              , 1                  , 6                 
 2.1           , .02697777228, .0005138, 0    , 12222.65, 50          , 30.55663682366, 20                , 20               , 31.25     , 1                   , 12             , 1                  , 12                
 2.1           , .02862690979, .0005452, 0    , 11518.7 , 50          , 28.79677182685, 20                , 20               , 31.25     , 1                   , 15             , 1                  , 15                
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 27.22858133888, 20                , 20               , 31.25     , 1                   , 13             , 1                  , 13                
 2.1           , .03192542296, .000608 , 0    , 10328.94, 50          , 25.82236842105, 20                , 20               , 31.25     , 1                   , 12             , 1                  , 12                
 2.1           , .02203078208, .0004196, 0    , 14966.63, 50          , 37.41658722592, 20                , 20               , 31.25     , 1                   , 6              , 1                  , 6                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .01543561293, .000294 , 0    , 21360.54, 50          , 213.6054421768, 20                , 20               , 31.25     , 0                   , 11             , 0                  , 11                
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 192.9932390903, 20                , 20               , 31.25     , 0                   , 6              , 0                  , 6                 
